fqdn_no,label
fqdn_0,2
fqdn_1,1
fqdn_2,2
fqdn_3,3
fqdn_4,3
fqdn_5,2
fqdn_6,2
fqdn_7,1
fqdn_8,1
fqdn_9,2
fqdn_10,3
fqdn_11,1
fqdn_12,3
fqdn_13,2
fqdn_14,2
fqdn_15,0
fqdn_16,1
fqdn_17,0
fqdn_18,1
fqdn_19,3
fqdn_20,1
fqdn_21,3
fqdn_22,2
fqdn_23,3
fqdn_24,2
fqdn_25,1
fqdn_26,2
fqdn_27,0
fqdn_28,2
fqdn_29,1
fqdn_30,2
fqdn_31,1
fqdn_32,3
fqdn_33,2
fqdn_34,0
fqdn_35,1
fqdn_36,3
fqdn_37,3
fqdn_38,3
fqdn_39,3
fqdn_40,2
fqdn_41,3
fqdn_42,2
fqdn_43,2
fqdn_44,3
fqdn_45,2
fqdn_46,2
fqdn_47,4
fqdn_48,3
fqdn_49,1
fqdn_50,0
fqdn_51,1
fqdn_52,2
fqdn_53,2
fqdn_54,1
fqdn_55,1
fqdn_56,2
fqdn_57,1
fqdn_58,2
fqdn_59,1
fqdn_60,0
fqdn_61,2
fqdn_62,3
fqdn_63,3
fqdn_64,1
fqdn_65,1
fqdn_66,3
fqdn_67,0
fqdn_68,0
fqdn_69,1
fqdn_70,3
fqdn_71,2
fqdn_72,3
fqdn_73,1
fqdn_74,1
fqdn_75,3
fqdn_76,3
fqdn_77,2
fqdn_78,2
fqdn_79,2
fqdn_80,1
fqdn_81,4
fqdn_82,0
fqdn_83,1
fqdn_84,2
fqdn_85,0
fqdn_86,1
fqdn_87,2
fqdn_88,1
fqdn_89,3
fqdn_90,3
fqdn_91,0
fqdn_92,3
fqdn_93,2
fqdn_94,3
fqdn_95,2
fqdn_96,2
fqdn_97,1
fqdn_98,1
fqdn_99,2
fqdn_100,2
fqdn_101,3
fqdn_102,0
fqdn_103,2
fqdn_104,2
fqdn_105,2
fqdn_106,3
fqdn_107,1
fqdn_108,1
fqdn_109,2
fqdn_110,2
fqdn_111,2
fqdn_112,2
fqdn_113,1
fqdn_114,2
fqdn_115,2
fqdn_116,2
fqdn_117,2
fqdn_118,1
fqdn_119,0
fqdn_120,2
fqdn_121,1
fqdn_122,2
fqdn_123,2
fqdn_124,2
fqdn_125,1
fqdn_126,0
fqdn_127,2
fqdn_128,3
fqdn_129,1
fqdn_130,3
fqdn_131,2
fqdn_132,3
fqdn_133,2
fqdn_134,2
fqdn_135,3
fqdn_136,2
fqdn_137,2
fqdn_138,1
fqdn_139,1
fqdn_140,0
fqdn_141,2
fqdn_142,2
fqdn_143,2
fqdn_144,1
fqdn_145,0
fqdn_146,0
fqdn_147,1
fqdn_148,2
fqdn_149,2
fqdn_150,3
fqdn_151,2
fqdn_152,1
fqdn_153,1
fqdn_154,2
fqdn_155,2
fqdn_156,3
fqdn_157,1
fqdn_158,2
fqdn_159,0
fqdn_160,2
fqdn_161,3
fqdn_162,3
fqdn_163,3
fqdn_164,2
fqdn_165,1
fqdn_166,2
fqdn_167,2
fqdn_168,2
fqdn_169,1
fqdn_170,2
fqdn_171,1
fqdn_172,3
fqdn_173,2
fqdn_174,3
fqdn_175,3
fqdn_176,1
fqdn_177,2
fqdn_178,2
fqdn_179,2
fqdn_180,2
fqdn_181,1
fqdn_182,2
fqdn_183,1
fqdn_184,0
fqdn_185,2
fqdn_186,1
fqdn_187,0
fqdn_188,4
fqdn_189,2
fqdn_190,2
fqdn_191,2
fqdn_192,1
fqdn_193,2
fqdn_194,1
fqdn_195,3
